ar_coeff,seed,model,accuracy,macro_f1,bear_f1,bull_f1
0.5,0,HMM,0.4368334700574241,0.30402512132457893,0.0,0.6080502426491579
0.5,0,GMM,0.4372436423297785,0.3042237442922374,0.0,0.6084474885844748
0.5,0,Changepoint,0.6505332239540607,0.3941351888667992,0.0,0.7882703777335984
0.5,1,HMM,0.43150123051681705,0.301432664756447,0.0,0.602865329512894
0.5,1,GMM,0.4298605414273995,0.3006310958118187,0.0,0.6012621916236374
0.5,1,Changepoint,0.0,0.0,0.0,0.0
0.5,2,HMM,0.6287940935192781,0.5676250329465966,0.4049967126890204,0.7302533532041728
0.5,2,GMM,0.8035274815422477,0.7362975086502533,0.6031483015741508,0.8694467157263559
0.5,2,Changepoint,0.8470057424118129,0.4585831667777038,0.0,0.9171663335554076
0.5,3,HMM,0.527481542247744,0.34532760472610097,0.0,0.6906552094522019
0.5,3,GMM,0.46513535684987695,0.31746920492721165,0.0,0.6349384098544233
0.5,3,Changepoint,0.0,0.0,0.0,0.0
0.5,4,HMM,0.5258408531583265,0.3446236559139785,0.0,0.689247311827957
0.5,4,GMM,0.5020508613617719,0.3342435827416712,0.0,0.6684871654833424
0.5,4,Changepoint,0.6964725184577523,0.41054158607350094,0.0,0.8210831721470019
0.5,5,HMM,0.7124692370795734,0.6710617156492806,0.554354736172918,0.7877686951256434
0.5,5,GMM,0.7481542247744053,0.7138622362806288,0.6148055207026348,0.8129189518586228
0.5,5,Changepoint,0.7719442165709598,0.4356481481481482,0.0,0.8712962962962963
0.5,6,HMM,0.7698933552091879,0.43499420625724217,0.0,0.8699884125144843
0.5,6,GMM,0.7703035274815423,0.4351251158480074,0.0,0.8702502316960148
0.5,6,Changepoint,0.7362592288761279,0.4240491377273801,0.0,0.8480982754547602
0.5,7,HMM,0.7050861361771944,0.4135193649266298,0.0,0.8270387298532595
0.5,7,GMM,0.4200164068908942,0.29578278451761986,0.0,0.5915655690352397
0.5,7,Changepoint,0.0,0.0,0.0,0.0
0.5,8,HMM,0.7579983593109105,0.660606558243484,0.4787985865724382,0.8424145299145299
0.5,8,GMM,0.7502050861361772,0.6537024705683415,0.47089487402258906,0.8365100671140939
0.5,8,Changepoint,0.8207547169811321,0.7207443037165122,0.5536261491317671,0.8878624583012574
0.5,9,HMM,0.8260869565217391,0.4523809523809524,0.0,0.9047619047619048
0.5,9,GMM,0.70467596390484,0.41337824831568815,0.0,0.8267564966313763
0.5,9,Changepoint,0.549630844954881,0.35468501852832185,0.0,0.7093700370566437
0.7,0,HMM,0.6599671862182116,0.4247386336111583,0.05688282138794084,0.7925944458343758
0.7,0,GMM,0.6599671862182116,0.4247386336111583,0.05688282138794084,0.7925944458343758
0.7,0,Changepoint,0.85233798195242,0.46014171833480955,0.0,0.9202834366696191
0.7,1,HMM,0.45775225594749797,0.3512015620911086,0.08827586206896551,0.6141272621132516
0.7,1,GMM,0.45652173913043476,0.3505031245859403,0.088093599449415,0.6129126497224656
0.7,1,Changepoint,0.026251025430680888,0.025579536370903277,0.051159072741806554,0.0
0.7,2,HMM,0.32895816242821985,0.24753086419753087,0.0,0.49506172839506174
0.7,2,GMM,0.31788351107465135,0.24120759414877063,0.0,0.48241518829754126
0.7,2,Changepoint,0.881870385561936,0.468613775065388,0.0,0.937227550130776
0.7,3,HMM,0.5036915504511895,0.33496999454446263,0.0,0.6699399890889253
0.7,3,GMM,0.507383100902379,0.33659863945578233,0.0,0.6731972789115647
0.7,3,Changepoint,0.023379819524200166,0.022845691382765532,0.045691382765531065,0.0
0.7,4,HMM,0.5196882690730107,0.3800701164662951,0.0858704137392662,0.6742698191933241
0.7,4,GMM,0.5008203445447088,0.3699901242652387,0.0828937452901281,0.6570865032403493
0.7,4,Changepoint,0.7190319934372437,0.48525688148329654,0.13836477987421383,0.8321489830923793
0.7,5,HMM,0.7313371616078753,0.704798037076741,0.6162858816637375,0.7933101924897444
0.7,5,GMM,0.7621000820344545,0.739644438748944,0.6631823461091754,0.8161065313887127
0.7,5,Changepoint,0.7165709598031174,0.41744324970131425,0.0,0.8348864994026285
0.7,6,HMM,0.6886792452830188,0.40782122905027934,0.0,0.8156424581005587
0.7,6,GMM,0.6890894175553732,0.40796503156872266,0.0,0.8159300631374453
0.7,6,Changepoint,0.655045118949959,0.39578686493184634,0.0,0.7915737298636927
0.7,7,HMM,0.7407711238720263,0.5302991690088464,0.21588089330024815,0.8447174447174447
0.7,7,GMM,0.45693191140278916,0.36210348749981225,0.11615487316421896,0.6080521018354056
0.7,7,Changepoint,0.03568498769483183,0.03445544554455446,0.06891089108910892,0.0
0.7,8,HMM,0.6197703035274815,0.618020697293505,0.5921689397272327,0.6438724548597772
0.7,8,GMM,0.8650533223954061,0.8407148254390956,0.7784511784511785,0.9029784724270127
0.7,8,Changepoint,0.8379819524200164,0.8004783910810831,0.7139753801593048,0.8869814020028612
0.7,9,HMM,0.6948318293683347,0.4099709583736689,0.0,0.8199419167473379
0.7,9,GMM,0.7026251025430681,0.4126716453866538,0.0,0.8253432907733076
0.7,9,Changepoint,0.551681706316653,0.3555379328575205,0.0,0.711075865715041
0.9,0,HMM,0.5172272354388844,0.4012484050649815,0.13772893772893774,0.6647678724010253
0.9,0,GMM,0.5479901558654635,0.39896036910565613,0.09967320261437909,0.6982475355969332
0.9,0,Changepoint,0.7112387202625102,0.4156279961649089,0.0,0.8312559923298178
0.9,1,HMM,0.5393765381460214,0.504709904575385,0.373675404350251,0.635744404800519
0.9,1,GMM,0.5143560295324036,0.48479364202250735,0.36138079827400216,0.6082064857710126
0.9,1,Changepoint,0.4499589827727646,0.4325523755470566,0.33316757831924415,0.5319371727748691
0.9,2,HMM,0.18252666119770303,0.1807667244133652,0.14279569892473118,0.2187377499019992
0.9,2,GMM,0.8068088597210828,0.7521383848581177,0.6357308584686775,0.8685459112475579
0.9,2,Changepoint,0.8182936833470057,0.45003383713061135,0.0,0.9000676742612227
0.9,3,HMM,0.470467596390484,0.42817936967175513,0.27267605633802816,0.5836826830054821
0.9,3,GMM,0.4950779327317473,0.4526197640148661,0.3001705514496873,0.6050689765800449
0.9,3,Changepoint,0.24487284659557013,0.19670510708401978,0.39341021416803956,0.0
0.9,4,HMM,0.5360951599671863,0.43789877571688657,0.2029598308668076,0.6728377205669656
0.9,4,GMM,0.4081214109926169,0.34272859904459296,0.1354104254044338,0.5500467726847521
0.9,4,Changepoint,0.5545529122231337,0.4031218298142863,0.1024793388429752,0.7037643207855974
0.9,5,HMM,0.37981952420016407,0.35990764973578493,0.24701195219123506,0.47280334728033474
0.9,5,GMM,0.5492206726825266,0.4072988179653342,0.11726907630522089,0.6973285596254475
0.9,5,Changepoint,0.7719442165709598,0.4356481481481482,0.0,0.8712962962962963
0.9,6,HMM,0.7198523379819525,0.5642093224408826,0.3037716615698267,0.8246469833119384
0.9,6,GMM,0.7132895816242822,0.5540004632301272,0.2874617737003058,0.8205391527599486
0.9,6,Changepoint,0.6858080393765381,0.5395654009104609,0.2800751879699248,0.7990556138509969
0.9,7,HMM,0.6837571780147662,0.5405872092128041,0.2841225626740947,0.7970518557515136
0.9,7,GMM,0.6870385561936013,0.5429142761242092,0.2862488306828812,0.7995797215655371
0.9,7,Changepoint,0.6127973748974569,0.49222901268615554,0.2448,0.7396580253723111
0.9,8,HMM,0.7612797374897456,0.7384700680718481,0.6612339930151339,0.8157061431285624
0.9,8,GMM,0.8289581624282198,0.7984142346502042,0.7199462726662189,0.8768821966341895
0.9,8,Changepoint,0.828137817883511,0.7975995807439418,0.7189805499664654,0.876218611521418
0.9,9,HMM,0.7301066447908121,0.5320903219182558,0.22769953051643194,0.8364811133200796
0.9,9,GMM,0.7292863002461034,0.5315344061991599,0.22716627634660422,0.8359025360517156
0.9,9,Changepoint,0.5910582444626743,0.45828199050812407,0.190089358245329,0.7264746227709191
0.95,0,HMM,0.34331419196062346,0.3095674880066113,0.1569246972090574,0.46221027880416526
0.95,0,GMM,0.5894175553732568,0.4716572242345438,0.2222222222222222,0.7210922262468654
0.95,0,Changepoint,0.5873666940114848,0.4676888244144123,0.21528861154446177,0.7200890372843628
0.95,1,HMM,0.6009023789991796,0.5868906975897745,0.5108094519859225,0.6629719431936266
0.95,1,GMM,0.5726004922067268,0.5619586981096809,0.4936831875607386,0.6302342086586231
0.95,1,Changepoint,0.5200984413453651,0.515713019650188,0.4696282864913871,0.5617977528089888
0.95,2,HMM,0.1989335520918786,0.19876842180190252,0.21027092600080874,0.18726591760299627
0.95,2,GMM,0.21739130434782608,0.21703511447297993,0.23373493975903614,0.20033528918692373
0.95,2,Changepoint,0.783839212469237,0.4394113589330881,0.0,0.8788227178661762
0.95,3,HMM,0.42411812961443807,0.39106599634954686,0.24919786096256685,0.5329341317365269
0.95,3,GMM,0.46185397867104183,0.4286175666744074,0.29081081081081084,0.566424322538004
0.95,3,Changepoint,0.3695652173913043,0.34783779301088324,0.46687478321193204,0.22880080280983442
0.95,4,HMM,0.47292863002461033,0.42453473965350813,0.2576545349508954,0.5914149443561209
0.95,4,GMM,0.463084495488105,0.44641993854202533,0.35037220843672456,0.5424676686473261
0.95,4,Changepoint,0.4331419196062346,0.3418507709917998,0.09673202614379085,0.5869695158398087
0.95,5,HMM,0.5623461853978671,0.5317711581677607,0.4121212121212121,0.6514211042143091
0.95,5,GMM,0.6041837571780148,0.5219824439530628,0.3237561317449194,0.7202087561612062
0.95,5,Changepoint,0.7986054142739951,0.4440136830102623,0.0,0.8880273660205246
0.95,6,HMM,0.7075471698113207,0.5945646330299302,0.3805386620330148,0.8085906040268457
0.95,6,GMM,0.6915504511894995,0.5761823082577799,0.35506003430531735,0.7973045822102426
0.95,6,Changepoint,0.6853978671041837,0.5714862865922895,0.3505503810330229,0.7924221921515562
0.95,7,HMM,0.6300246103363413,0.507506514843272,0.2618657937806874,0.7531472359058566
0.95,7,GMM,0.6341263330598852,0.5102883104904377,0.264026402640264,0.7565502183406113
0.95,7,Changepoint,0.5594749794913864,0.46055590670445345,0.22955523672883787,0.691556576680069
0.95,8,HMM,0.6747333880229697,0.6441248686867237,0.5397562391178178,0.7484934982556296
0.95,8,GMM,0.6890894175553732,0.6674433503210389,0.5825991189427313,0.7522875816993464
0.95,8,Changepoint,0.7698933552091879,0.7053578410685306,0.5674633770239013,0.8432523051131601
0.95,9,HMM,0.5639868744872847,0.43893269666465545,0.17404817404817405,0.7038172192811368
0.95,9,GMM,0.6894995898277276,0.5169933485911392,0.22833843017329256,0.8056482670089858
0.95,9,Changepoint,0.5311730926989335,0.4305110807425542,0.1910828025477707,0.6699393589373376
0.99,0,HMM,0.5602953240360952,0.5502702643173323,0.4831243972999036,0.6174161313347609
0.99,0,GMM,0.6439704675963905,0.6317571729762501,0.5646940822467402,0.6988202637057599
0.99,0,Changepoint,0.4159146841673503,0.339343673310315,0.11442786069651742,0.5642594859241126
0.99,1,HMM,0.6628383921246924,0.6525261450306237,0.5926660059464817,0.7123862841147656
0.99,1,GMM,0.5849056603773585,0.5811781609195402,0.5416666666666666,0.6206896551724138
0.99,1,Changepoint,0.4278096800656276,0.42554727819830807,0.4615978386723273,0.38949671772428884
0.99,2,HMM,0.22682526661197702,0.22627528802773378,0.20564686051411715,0.24690371554135038
0.99,2,GMM,0.17063166529942575,0.16512505419466725,0.2329286798179059,0.09732142857142857
0.99,2,Changepoint,0.6210008203445447,0.504025109709669,0.2631578947368421,0.7448923246824959
0.99,3,HMM,0.448318293683347,0.4036848819457515,0.24054206662902314,0.5668276972624798
0.99,3,GMM,0.5951599671862182,0.5445082459834844,0.3926153846153846,0.6964011073515841
0.99,3,Changepoint,0.35520918785890077,0.3332957581830327,0.45416666666666666,0.2124248496993988
0.99,4,HMM,0.45775225594749797,0.40305304489554006,0.2223529411764706,0.5837531486146096
0.99,4,GMM,0.46185397867104183,0.40291143247973527,0.215311004784689,0.5905118601747815
0.99,4,Changepoint,0.3113207547169811,0.2938946776479152,0.1829683698296837,0.40482098546614675
0.99,5,HMM,0.47374897456931914,0.32145839131644866,0.0,0.6429167826328973
0.99,5,GMM,0.5082034454470877,0.4347230228633453,0.23091725465041693,0.6385287910762737
0.99,5,Changepoint,0.7850697292863003,0.6347615665851285,0.40045766590389015,0.8690654672663668
0.99,6,HMM,0.7424118129614438,0.6593265851220722,0.49108589951377635,0.827567270730368
0.99,6,GMM,0.7132895816242822,0.6246024170750893,0.4421388667198723,0.8070659674303063
0.99,6,Changepoint,0.7530762920426579,0.732773757979411,0.6591166477916195,0.8064308681672026
0.99,7,HMM,0.5808039376538146,0.5695621468926554,0.5,0.6391242937853108
0.99,7,GMM,0.5500410172272354,0.5302020449185055,0.43366029943211154,0.6267437904048996
0.99,7,Changepoint,0.47087776866283837,0.47053535353535353,0.45707070707070707,0.484
0.99,8,HMM,0.8195242001640689,0.7819541841982235,0.6914446002805049,0.8724637681159421
0.99,8,GMM,0.8293683347005743,0.7945212029268442,0.7099023709902371,0.8791400348634515
0.99,8,Changepoint,0.8769483182936834,0.8389691914641783,0.7607655502392344,0.9171728326891221
0.99,9,HMM,0.6673502871205906,0.6407850261841932,0.5430985915492957,0.7384714608190907
0.99,9,GMM,0.6394585726004922,0.5563895066240321,0.3644251626898048,0.7483538505582594
0.99,9,Changepoint,0.24774405250205087,0.1985535831689678,0.3971071663379356,0.0
