bear_vix_mean,seed,model,accuracy,macro_f1,bear_f1,bull_f1
17.0,0,HMM,0.36915504511895,0.3583758214424807,0.27521206409048066,0.44153957879448075
17.0,0,GMM,0.47703035274815425,0.45675491606697866,0.3518047788510422,0.5617050532829151
17.0,0,Changepoint,0.3392124692370796,0.32026904595639294,0.206794682422452,0.4337434094903339
17.0,1,HMM,0.6214109926168991,0.6197938587457801,0.5949978060552874,0.6445899114362726
17.0,1,GMM,0.6267432321575062,0.624876146804503,0.5984112974404237,0.6513409961685823
17.0,1,Changepoint,0.6205906480721903,0.6190106931770283,0.5944761069706269,0.6435452793834296
17.0,2,HMM,0.16447908121410992,0.15494192976643775,0.06516750803120698,0.2447163515016685
17.0,2,GMM,0.16078753076292043,0.15742565025621066,0.21064814814814814,0.1042031523642732
17.0,2,Changepoint,0.7465135356849877,0.42743071864725224,0.0,0.8548614372945045
17.0,3,HMM,0.43560295324036097,0.40671194114318054,0.27578947368421053,0.5376344086021505
17.0,3,GMM,0.5213289581624282,0.500748137464973,0.3993823983530623,0.6021138765768838
17.0,3,Changepoint,0.3556193601312551,0.33193980356044295,0.4577148774594408,0.20616472966144517
17.0,4,HMM,0.26210008203445445,0.2620850601550577,0.2654144548795427,0.2587556654305727
17.0,4,GMM,0.5447087776866284,0.5401782073240355,0.49453551912568305,0.585820895522388
17.0,4,Changepoint,0.5237899917965545,0.45038090564922506,0.24951519069166128,0.6512466206067888
17.0,5,HMM,0.47949138638228056,0.32409204324923757,0.0,0.6481840864984751
17.0,5,GMM,0.5188679245283019,0.5179738333497111,0.4972138876982426,0.5387337790011797
17.0,5,Changepoint,0.7612797374897456,0.43223102002794594,0.0,0.8644620400558919
17.0,6,HMM,0.8576702214930271,0.8352716495285984,0.774528914879792,0.8960143841774049
17.0,6,GMM,0.7428219852337982,0.6835679415850604,0.5466377440347071,0.8204981391354137
17.0,6,Changepoint,0.8400328137817884,0.8313891834570519,0.7932131495227995,0.8695652173913043
17.0,7,HMM,0.6931911402789172,0.6073367376907846,0.423728813559322,0.7909446618222471
17.0,7,GMM,0.6472518457752255,0.62352898928052,0.5290251916757941,0.7180327868852459
17.0,7,Changepoint,0.49917965545529125,0.4988450093646752,0.48589473684210527,0.5117952818872451
17.0,8,HMM,0.7744052502050861,0.7527182732878935,0.6794871794871795,0.8259493670886076
17.0,8,GMM,0.8687448728465955,0.8432024516499357,0.7799174690508941,0.9064874342489772
17.0,8,Changepoint,0.9007383100902379,0.8750169469695429,0.8183183183183184,0.9317155756207675
17.0,9,HMM,0.5471698113207547,0.5355267299504664,0.4619883040935672,0.6090651558073654
17.0,9,GMM,0.5844954881050041,0.5794515334466854,0.5333947489636113,0.6255083179297597
17.0,9,Changepoint,0.24774405250205087,0.1985535831689678,0.3971071663379356,0.0
20.0,0,HMM,0.4864643150123052,0.4220350947351838,0.229064039408867,0.6150061500615006
20.0,0,GMM,0.5250205086136177,0.46961167784478386,0.29818181818181816,0.6410415375077495
20.0,0,Changepoint,0.49302707136997537,0.4348861283643892,0.2536231884057971,0.6161490683229813
20.0,1,HMM,0.7038556193601313,0.6972545355853659,0.6525505293551492,0.7419585418155825
20.0,1,GMM,0.6201804757998359,0.6186189798206202,0.5942156003505696,0.6430223592906708
20.0,1,Changepoint,0.6123872026251025,0.6111593524132606,0.5893089960886571,0.6330097087378641
20.0,2,HMM,0.2247744052502051,0.20769024430505117,0.09134615384615384,0.3240343347639485
20.0,2,GMM,0.1611977030352748,0.15779350686228752,0.21133821827998459,0.10424879544459045
20.0,2,Changepoint,0.6632485643970467,0.5495162403653747,0.3231657048639736,0.7758667758667759
20.0,3,HMM,0.6119770303527482,0.5159254545332429,0.30029585798816566,0.7315550510783201
20.0,3,GMM,0.3465955701394586,0.3463922470483398,0.35792019347037485,0.3348643006263048
20.0,3,Changepoint,0.35479901558654636,0.33000482364856165,0.4588923288613691,0.2011173184357542
20.0,4,HMM,0.4950779327317473,0.4893144406197766,0.4350619550252409,0.5435669262143122
20.0,4,GMM,0.5438884331419196,0.5392736070239695,0.49316317228805834,0.5853840417598807
20.0,4,Changepoint,0.5258408531583265,0.4517968001730393,0.2503242542153048,0.6532693461307738
20.0,5,HMM,0.5205086136177195,0.5196175713434035,0.4989284183454779,0.5403067243413291
20.0,5,GMM,0.5188679245283019,0.5179738333497111,0.4972138876982426,0.5387337790011797
20.0,5,Changepoint,0.7612797374897456,0.43223102002794594,0.0,0.8644620400558919
20.0,6,HMM,0.7936833470057424,0.7461478064071537,0.6362979031091829,0.8559977097051246
20.0,6,GMM,0.7629204265791633,0.7142703041156508,0.5963687150837989,0.832171893147503
20.0,6,Changepoint,0.8400328137817884,0.8313891834570519,0.7932131495227995,0.8695652173913043
20.0,7,HMM,0.6927809680065627,0.6070046355091754,0.42340261739799845,0.7906066536203522
20.0,7,GMM,0.6735028712059065,0.5915611885389087,0.4086181277860327,0.7745042492917847
20.0,7,Changepoint,0.49917965545529125,0.4988450093646752,0.48589473684210527,0.5117952818872451
20.0,8,HMM,0.859721082854799,0.8321565311914971,0.7641379310344828,0.9001751313485113
20.0,8,GMM,0.8666940114848236,0.8410660081040591,0.7772446881425634,0.9048873280655546
20.0,8,Changepoint,0.8264971287940935,0.8004378364539775,0.7283236994219653,0.8725519734859898
20.0,9,HMM,0.7260049220672683,0.689296398046398,0.5825,0.796092796092796
20.0,9,GMM,0.7030352748154225,0.6214172039413008,0.445635528330781,0.7971988795518208
20.0,9,Changepoint,0.15627563576702214,0.13757559592382618,0.2645691812656418,0.010582010582010581
25.0,0,HMM,0.3638228055783429,0.35128015930215584,0.26107670319199616,0.44148361541231546
25.0,0,GMM,0.5311730926989335,0.47412425092493254,0.30091743119266057,0.6473310706572045
25.0,0,Changepoint,0.6808859721082855,0.49781999756424306,0.19461697722567287,0.8010230179028133
25.0,1,HMM,0.7038556193601313,0.6972545355853659,0.6525505293551492,0.7419585418155825
25.0,1,GMM,0.6168990976210008,0.6154820886398714,0.5921397379912664,0.6388244392884764
25.0,1,Changepoint,0.6123872026251025,0.6111593524132606,0.5893089960886571,0.6330097087378641
25.0,2,HMM,0.347005742411813,0.27753658204257836,0.0535077288941736,0.5015654351909831
25.0,2,GMM,0.1501230516817063,0.1370566075898162,0.03086997193638915,0.24324324324324326
25.0,2,Changepoint,0.6632485643970467,0.5495162403653747,0.3231657048639736,0.7758667758667759
25.0,3,HMM,0.48195242001640687,0.474672501375507,0.41283124128312415,0.5365137614678899
25.0,3,GMM,0.6607875307629204,0.5681862621950684,0.3682200152788388,0.768152509111298
25.0,3,Changepoint,0.35479901558654636,0.33000482364856165,0.4588923288613691,0.2011173184357542
25.0,4,HMM,0.25430680885972107,0.25430680885972107,0.25430680885972107,0.25430680885972107
25.0,4,GMM,0.5143560295324036,0.45342615987736234,0.270935960591133,0.6359163591635917
25.0,4,Changepoint,0.3474159146841673,0.3232176933667846,0.19524532119372787,0.4511900655398413
25.0,5,HMM,0.4741591468416735,0.32164718976071227,0.0,0.6432943795214245
25.0,5,GMM,0.5188679245283019,0.5179738333497111,0.4972138876982426,0.5387337790011797
25.0,5,Changepoint,0.7612797374897456,0.43223102002794594,0.0,0.8644620400558919
25.0,6,HMM,0.7936833470057424,0.7461478064071537,0.6362979031091829,0.8559977097051246
25.0,6,GMM,0.7641509433962265,0.7161002747155383,0.5993031358885017,0.8328974135425748
25.0,6,Changepoint,0.8400328137817884,0.8313891834570519,0.7932131495227995,0.8695652173913043
25.0,7,HMM,0.6205906480721903,0.6121815392462514,0.555074555074555,0.6692885234179478
25.0,7,GMM,0.6452009844134536,0.6244565280299313,0.5361930294906166,0.712720026569246
25.0,7,Changepoint,0.583264971287941,0.5781676492927477,0.5317972350230414,0.6245380635624538
25.0,8,HMM,0.8552091878589008,0.8275085858479571,0.758384668035592,0.8966325036603221
25.0,8,GMM,0.8642329778506973,0.8385112209745023,0.774061433447099,0.9029610085019056
25.0,8,Changepoint,0.8264971287940935,0.8004378364539775,0.7283236994219653,0.8725519734859898
25.0,9,HMM,0.7276456111566858,0.6909590313089653,0.5844806007509387,0.797437461866992
25.0,9,GMM,0.6927809680065627,0.612990858120187,0.43726521412471825,0.7887165021156558
25.0,9,Changepoint,0.15627563576702214,0.13757559592382618,0.2645691812656418,0.010582010582010581
30.0,0,HMM,0.3638228055783429,0.35128015930215584,0.26107670319199616,0.44148361541231546
30.0,0,GMM,0.6501230516817064,0.6417371050947376,0.5869249394673124,0.6965492707221629
30.0,0,Changepoint,0.5668580803937654,0.48698230511716883,0.2845528455284553,0.6894117647058824
30.0,1,HMM,0.7038556193601313,0.6972545355853659,0.6525505293551492,0.7419585418155825
30.0,1,GMM,0.5414273995077933,0.5413273902036635,0.5481002425222312,0.5345545378850958
30.0,1,Changepoint,0.6123872026251025,0.6111593524132606,0.5893089960886571,0.6330097087378641
30.0,2,HMM,0.34618539786710417,0.27581153596444735,0.050059594755661505,0.5015634771732332
30.0,2,GMM,0.15176374077112387,0.13872252147477793,0.03274087932647334,0.24470416362308253
30.0,2,Changepoint,0.6632485643970467,0.5495162403653747,0.3231657048639736,0.7758667758667759
30.0,3,HMM,0.48236259228876127,0.4750369397191558,0.4130232558139535,0.5370506236243581
30.0,3,GMM,0.6640689089417555,0.5740056489979205,0.37813211845102507,0.769879179544816
30.0,3,Changepoint,0.3527481542247744,0.32732103690606745,0.4581043956043956,0.19653767820773932
30.0,4,HMM,0.477850697292863,0.46303266590182146,0.37383177570093457,0.5522335561027084
30.0,4,GMM,0.5188679245283019,0.46032173782584945,0.28256880733944956,0.6380746683122493
30.0,4,Changepoint,0.34331419196062346,0.3200458570880331,0.19426270759939607,0.44582900657667013
30.0,5,HMM,0.5237899917965545,0.5203320795899674,0.4796055580457194,0.5610586011342155
30.0,5,GMM,0.5188679245283019,0.5179738333497111,0.4972138876982426,0.5387337790011797
30.0,5,Changepoint,0.8018867924528302,0.6516775063205431,0.4229390681003584,0.8804159445407279
30.0,6,HMM,0.7936833470057424,0.7461478064071537,0.6362979031091829,0.8559977097051246
30.0,6,GMM,0.7641509433962265,0.7161002747155383,0.5993031358885017,0.8328974135425748
30.0,6,Changepoint,0.8400328137817884,0.8313891834570519,0.7932131495227995,0.8695652173913043
30.0,7,HMM,0.7022149302707137,0.6759574150233751,0.5837155963302753,0.7681992337164751
30.0,7,GMM,0.6230516817063166,0.6058723996057531,0.5235873509590462,0.6881574482524602
30.0,7,Changepoint,0.583264971287941,0.5781676492927477,0.5317972350230414,0.6245380635624538
30.0,8,HMM,0.854388843314192,0.8266669256846135,0.7573479152426521,0.8959859361265748
30.0,8,GMM,0.8613617719442166,0.8355427438307873,0.7703804347826086,0.900705052878966
30.0,8,Changepoint,0.8264971287940935,0.8004378364539775,0.7283236994219653,0.8725519734859898
30.0,9,HMM,0.6776045939294504,0.6554664576261435,0.5681318681318681,0.7428010471204188
30.0,9,GMM,0.677194421657096,0.6003597521642513,0.42512783053323594,0.7755916737952666
30.0,9,Changepoint,0.15627563576702214,0.13757559592382618,0.2645691812656418,0.010582010582010581
40.0,0,HMM,0.6111566858080394,0.5685671021271258,0.43301435406698563,0.704119850187266
40.0,0,GMM,0.5299425758818704,0.4732220630923534,0.30036630036630035,0.6460778258184064
40.0,0,Changepoint,0.5668580803937654,0.48698230511716883,0.2845528455284553,0.6894117647058824
40.0,1,HMM,0.6222313371616078,0.6205766786759477,0.5955204216073782,0.6456329357445171
40.0,1,GMM,0.5430680885972108,0.5429893552219317,0.5489878542510122,0.5369908561928513
40.0,1,Changepoint,0.6123872026251025,0.6111593524132606,0.5893089960886571,0.6330097087378641
40.0,2,HMM,0.34618539786710417,0.2749879294377693,0.04778972520908005,0.5021861336664585
40.0,2,GMM,0.1509433962264151,0.13841412447280435,0.03451492537313433,0.24231332357247437
40.0,2,Changepoint,0.6632485643970467,0.5495162403653747,0.3231657048639736,0.7758667758667759
40.0,3,HMM,0.4827727645611157,0.47550437389906125,0.41376104137610414,0.5372477064220184
40.0,3,GMM,0.6669401148482362,0.5790516725184398,0.3867069486404834,0.7713963963963963
40.0,3,Changepoint,0.3527481542247744,0.32732103690606745,0.4581043956043956,0.19653767820773932
40.0,4,HMM,0.6812961443806399,0.6645321906014696,0.589540412044374,0.7395239691585652
40.0,4,GMM,0.4807219031993437,0.46650418982825853,0.37941176470588234,0.5535966149506347
40.0,4,Changepoint,0.34331419196062346,0.3200458570880331,0.19426270759939607,0.44582900657667013
40.0,5,HMM,0.47949138638228056,0.32409204324923757,0.0,0.6481840864984751
40.0,5,GMM,0.48195242001640687,0.32797375792647465,0.006294256490952006,0.6496532593619972
40.0,5,Changepoint,0.8018867924528302,0.6516775063205431,0.4229390681003584,0.8804159445407279
40.0,6,HMM,0.7768662838392125,0.720350826588128,0.5946348733233979,0.8460667798528579
40.0,6,GMM,0.7641509433962265,0.7161002747155383,0.5993031358885017,0.8328974135425748
40.0,6,Changepoint,0.8379819524200164,0.8293937517660575,0.7911158117398202,0.8676716917922948
40.0,7,HMM,0.5849056603773585,0.5796737911977458,0.5327793167128347,0.6265682656826568
40.0,7,GMM,0.6201804757998359,0.6033641142407375,0.5216942148760331,0.6850340136054421
40.0,7,Changepoint,0.5853158326497129,0.5800501421375408,0.5330254041570439,0.6270748801180376
40.0,8,HMM,0.850287120590648,0.822474040017803,0.7522063815342838,0.8927416985013223
40.0,8,GMM,0.8580803937653815,0.8321658230668831,0.7662162162162162,0.8981154299175501
40.0,8,Changepoint,0.8264971287940935,0.8004378364539775,0.7283236994219653,0.8725519734859898
40.0,9,HMM,0.7292863002461034,0.6924252051225,0.5859473023839398,0.7989031078610603
40.0,9,GMM,0.6751435602953241,0.5987121520079606,0.42358078602620086,0.7738435179897202
40.0,9,Changepoint,0.15627563576702214,0.13757559592382618,0.2645691812656418,0.010582010582010581
